title,genres,original_language,popularity,production_companies,release_date,budget,revenue,runtime,status,vote_average,vote_count,credits
Intermission,Comedy,en,7.365,Screen Ireland-UK Film Council-Portman Film-Parallel Films-Brown Sauce Film Productions-Company of Wolves,2003-08-29,5000000.0,4856298.0,105.0,Released,6.2,123.0,Colin Farrell
Jism 2,Thriller,hi,7.36,Clockwork FIlms-Fish Eye Network,2012-08-03,2006871.0,7040609.0,132.0,Released,4.4,21.0,Randeep Hooda
Party Monster,Comedy,en,7.36,ContentFilm,2003-09-05,5000000.0,742898.0,98.0,Released,5.9,149.0,Seth Green
Jagga Jasoos,Adventure,hi,7.359,Walt Disney Pictures-UTV Motion Pictures-Picture Shuru Productions,2017-07-14,19700000.0,12500000.0,180.0,Released,6.1,75.0,Ranbir Kapoor
Rangeela,Drama,hi,7.357,Jhamu Sughand Productions-Varma Creations,1995-09-08,2800000.0,14000000.0,175.0,Released,6.9,54.0,Aamir Khan
The Man From Snowy River II,Drama,en,7.356,Walt Disney Pictures-Silver Screen Partners III-Burrowes Film Group-Hoyts Distribution,1988-03-24,6830000.0,10743000.0,110.0,Released,6.8,36.0,Tom Burlinson
Yellowbird,Animation,en,7.354,Haut et Court-Panache Productions-Compagnie Française Cinématographique (CFC)-TeamTO,2014-10-17,6443990.0,3790114.0,90.0,Released,5.0,50.0,Seth Green
Restless,Drama,en,7.353,Columbia Pictures-Imagine Entertainment-360 Pictures,2011-09-16,8000000.0,2518012.0,91.0,Released,6.5,362.0,Mia Wasikowska
Conversations with Other Women,Drama,en,7.352,Prophecy Pictures Ltd.-Gordonstreet Pictures,2006-06-07,450000.0,973525.0,84.0,Released,6.4,120.0,Helena Bonham Carter
A Blood Pledge,Horror,ko,7.35,Cine2000-Lotte Entertainment,2009-06-18,125000.0,3470000.0,88.0,Released,5.4,42.0,Oh Yeon
Nadine,Action,en,7.349,TriStar Pictures,1987-08-07,12000000.0,5669831.0,83.0,Released,5.4,68.0,Jeff Bridges
Ghost in the Machine,Science Fiction,en,7.345,20th Century Fox,1993-12-20,12000000.0,5086909.0,104.0,Released,4.6,57.0,Karen Allen
Screwed,Action,en,7.342,Universal Pictures-Robert Simonds Productions,2000-05-12,10000000.0,7201701.0,81.0,Released,5.6,67.0,Norm Macdonald
Sharky's Machine,Crime,en,7.34,Warner Bros. Pictures-Deliverance Productions,1981-12-18,17500000.0,35610100.0,122.0,Released,6.1,75.0,Burt Reynolds
Delirious,Fantasy,en,7.338,Metro-Goldwyn-Mayer,1991-08-09,18000000.0,5546827.0,96.0,Released,5.58,88.0,John Candy
The Greatest,Drama,en,7.329,Irish Dreamtime-Silverwood Films-Oceana Media Finance-Barbarian Films,2009-01-17,6000000.0,1344544.0,99.0,Released,6.184,133.0,Pierce Brosnan
Godzilla vs. SpaceGodzilla,Action,ja,7.324,Toho Pictures,1994-12-10,10300000.0,20000000.0,108.0,Released,6.6,159.0,Megumi Odaka
Blue Car,Drama,en,7.324,Miramax-Peer Oppenheimer Production Inc.,2003-04-25,1000000.0,464000.0,92.0,Released,6.4,42.0,Agnes Bruckner
I Can Quit Whenever I Want,Comedy,es,7.323,Telecinco Cinema-Mod Producciones,2019-04-12,4833490.0,11788968.0,98.0,Released,6.2,144.0,David Verdaguer
Midnight Sun,Family,en,7.321,Hyde Park Films-Imagenation Abu Dhabi FZ-Media Max Productions-Rob Heydon Productions,2014-09-01,12758853.0,3016126.0,98.0,Released,6.1,66.0,Dakota Goyo
A Home of Our Own,Comedy,en,7.314,PolyGram Filmed Entertainment-A&M Films,1993-11-05,12000000.0,1703282.0,104.0,Released,6.698,58.0,Kathy Bates
Orlando,Drama,en,7.313,Mikado Film-Adventure Pictures-Sigma Pictures-Rio-Lenfilm,1992-12-11,4000000.0,5377643.0,90.0,Released,7.0,249.0,Tilda Swinton
Al Capone,Action,en,7.313,Allied Artists Pictures,1959-03-25,1000000.0,2500000.0,104.0,Released,6.6,42.0,Rod Steiger
Secret Zoo,Comedy,ko,7.312,Central Films-DCG Plus-about Film-Acemaker Movieworks,2020-01-15,8100000.0,8300000.0,117.0,Released,6.2,44.0,Ahn Jae
Gangs of Wasseypur - Part 1,Action,hi,7.31,Anurag Kashyap Films-Jar Pictures,2012-06-22,1400000.0,4100000.0,160.0,Released,7.2,284.0,Manoj Bajpayee
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,Comedy,en,7.305,Universal Pictures,1953-08-01,724805.0,2616000.0,76.0,Released,6.5,62.0,Bud Abbott
Gone Fishin',Comedy,en,7.302,Caravan Pictures-Hollywood Pictures-Roger Birnbaum Productions,1997-05-30,53000000.0,19745922.0,94.0,Released,4.8,132.0,Joe Pesci
Sarfarosh,Action,hi,7.301,Cinematt Pictures Pvt Ltd,1999-04-30,8500000.0,9100000.0,174.0,Released,7.0,75.0,Aamir Khan
Soul Survivors,Horror,en,7.3,Original Film-Lost Soul Productions,2001-09-06,17000000.0,4299141.0,84.0,Released,4.6,149.0,Melissa Sagemiller
Dil Chahta Hai,Drama,hi,7.296,Excel Entertainment,2001-07-24,2079000.0,4099000.0,183.0,Released,7.0,228.0,Aamir Khan
Hawaii,Drama,en,7.296,The Mirisch Company-United Artists,1966-10-10,15000000.0,34562222.0,189.0,Released,6.5,38.0,Julie Andrews
The Cookout,Comedy,en,7.294,Cookout Productions,2004-09-03,16000000.0,12009070.0,97.0,Released,5.167,30.0,Ja Rule
Boogie Woogie,Comedy,en,7.289,Autonomous-Muse Productions-Constance Media-Piccadilly Pictures-S Films-Firefly Films-The Works International-P&C Arcade Film Fund-Colourframe,2009-06-17,6000000.0,47527.0,94.0,Released,5.1,69.0,Gillian Anderson
Turning Tide,Adventure,fr,7.287,Ciné+-Gaumont-Les films du cap-SCOPE Pictures-A Contracorriente Films-Canal+,2013-11-06,1700000.0,7029858.0,97.0,Released,6.3,195.0,François Cluzet
Paradise Road,War,en,7.287,Fox Searchlight Pictures-Samson Productions-Village Roadshow Entertainment,1997-02-11,16000000.0,2007100.0,122.0,Released,6.6,66.0,Glenn Close
Highway to Hell,Fantasy,en,7.286,Hemdale Film Corporation,1991-11-21,9000000.0,26055.0,94.0,Released,6.0,82.0,Patrick Bergin
The River,Drama,en,7.284,Universal Pictures,1984-12-01,18000000.0,11500000.0,122.0,Released,6.287,101.0,Mel Gibson
Mr. 3000,Comedy,en,7.28,Dimension Films-Touchstone Pictures,2004-06-15,30000000.0,21800302.0,104.0,Released,5.3,143.0,Bernie Mac
Firestorm,Action,en,7.276,20th Century Fox,1998-01-08,19000000.0,8165212.0,89.0,Released,5.1,48.0,Howie Long
Kingdom of the Spiders,Horror,en,7.273,Arachnid Productions Ltd.,1977-08-24,500000.0,17000000.0,97.0,Released,5.5,97.0,William Shatner
Taras Bulba,Adventure,en,7.273,United Artists-Avala Film-Harold Hecht Productions,1962-11-21,7000000.0,4000000.0,119.0,Released,6.4,58.0,Tony Curtis
The Black Balloon,Drama,en,7.272,Black Balloon Productions,2008-03-08,5000000.0,5000000.0,97.0,Released,6.8,65.0,Toni Collette
Hamlet,Drama,en,7.27,Miramax-double A Films,2000-05-12,2000000.0,1568749.0,112.0,Released,5.8,110.0,Ethan Hawke
Gold,Drama,es,7.264,Canal Sur-Apaches Entertainment-ICAA-Áralan Films-Telefónica Studios-Atresmedia-Apache Films-Movistar+-Cine365 Films-Virtual Contenidos-Tezutlan Films,2017-11-10,7130000.0,1528185.0,103.0,Released,5.6,159.0,Óscar Jaenada
1½ Knights - In Search of the Ravishing Princess Herzelinde,Adventure,de,7.26,Warner Bros. Pictures-Barefoot Films-Lionheart Entertainment-SevenPictures Film GmbH,2008-12-17,67000000.0,16680689.0,116.0,Released,4.4,103.0,Til Schweiger
The Yellow Handkerchief,Drama,en,7.26,area japan,2009-11-19,15000000.0,317000.0,102.0,Released,6.2,121.0,Maria Bello
Hurricane Season,Drama,en,7.256,Dimension Films-The Story Company-IAM Entertainment,2009-12-08,143000.0,1000000.0,103.0,Released,6.891,46.0,Forest Whitaker
I Smile Back,Drama,en,7.25,Egoli Tossell Film-Koppelman-Levien,2015-10-23,495000.0,63373.0,85.0,Released,6.1,98.0,Sarah Silverman
Living in Oblivion,Comedy,en,7.249,JDI productions-Lemon Sky Productions,1995-07-21,500000.0,1148752.0,89.0,Released,7.171,225.0,Steve Buscemi
Blue in the Face,Comedy,en,7.245,Miramax-InterAL,1995-09-15,2000000.0,1275000.0,83.0,Released,6.7,127.0,Harvey Keitel
The Penguins of Madagascar: Operation Antarctica,Comedy,en,7.244,DreamWorks Home Entertainment,2012-01-16,30000.0,1000000.0,93.0,Released,6.3,9.0,Jeff Bennett
Befikre,Romance,hi,7.244,Yash Raj Films,2016-12-09,15500000.0,9600000.0,132.0,Released,5.2,46.0,Ranveer Singh
Prison,Crime,en,7.24,Empire Pictures,1987-12-08,4000000.0,354704.0,102.0,Released,5.8,96.0,Viggo Mortensen
Dil Dhadakne Do,Drama,hi,7.237,Excel Entertainment-Babieka Films-Junglee Pictures,2015-06-04,13000000.0,22000000.0,170.0,Released,6.9,112.0,Anil Kapoor
MirrorMask,Fantasy,en,7.236,Destination Films-The Jim Henson Company,2005-01-25,4000000.0,973613.0,101.0,Released,6.5,282.0,Stephanie Leonidas
Hardware,Science Fiction,en,7.234,Palace Pictures-British Screen Productions-Wicked Films-British Satellite Broadcasting (BSB),1990-09-14,1500000.0,5728953.0,93.0,Released,5.961,232.0,Dylan McDermott
This Island Earth,Science Fiction,en,7.233,Universal Pictures,1955-06-01,800000.0,1700000.0,87.0,Released,6.0,179.0,Rex Reason
Admiral,War,ru,7.232,Film Direction-Dago Productions,2008-06-06,2000000.0,38135878.0,123.0,Released,6.319,105.0,Konstantin Khabenskiy
Cemetery of Splendor,Drama,th,7.225,CNC-The Match Factory-Louverture Films-Tordenfilm-ZDF/Arte-Geißendörfer Film- und Fernsehproduktion (GFF)-Illumination Films-Detalle Films-Astro Shaw-Kick the Machine-Anna Sanders Films-Asia Culture Centre-Asian Arts Theatre,2015-09-02,980000.0,89487.0,122.0,Released,5.7,135.0,Jenjira Pongpas
To Be or Not to Be,Comedy,en,7.222,20th Century Fox-Brooksfilms,1983-12-16,9000000.0,13030214.0,107.0,Released,6.8,177.0,Mel Brooks
Gun Shy,Action,en,7.221,Fortis Films-Hollywood Pictures,2000-02-04,10000000.0,1631839.0,101.0,Released,5.3,110.0,Sandra Bullock
The New Adventures of Pippi Longstocking,Fantasy,en,7.219,Columbia Pictures,1988-07-06,5000000.0,3569939.0,100.0,Released,5.8,63.0,Tami Erin
She Done Him Wrong,Comedy,en,7.214,Paramount,1933-02-09,200000.0,2200000.0,66.0,Released,5.9,85.0,Mae West
Atlas Shrugged: Part III,Drama,en,7.202,Atlas Distribution Company,2014-09-12,5000000.0,846704.0,99.0,Released,4.2,56.0,Kristoffer Polaha
Another Thin Man,Comedy,en,7.2,Metro-Goldwyn-Mayer,1939-11-17,1107000.0,2223000.0,103.0,Released,7.1,85.0,William Powell
Mohenjo Daro,Adventure,hi,7.196,UTV Motion Pictures-Ashutosh Gowariker Productions,2016-08-11,17000000.0,16000000.0,155.0,Released,6.4,66.0,Hrithik Roshan
The Black Cat,Horror,en,7.193,Universal Pictures,1934-05-07,95745.0,236000.0,63.0,Released,6.814,212.0,Boris Karloff
Slumber Party Massacre III,Horror,en,7.191,Concorde Pictures,1990-09-07,350000.0,1242995.0,87.0,Released,5.1,72.0,Keely Christian
The King and I,Animation,en,7.188,Warner Bros. Pictures-NEST Family Entertainment-Rich Animation Studios-Morgan Creek Productions,1999-03-19,25000000.0,12000000.0,87.0,Released,5.5,89.0,Miranda Richardson
One from the Heart,Drama,en,7.182,American Zoetrope,1982-02-11,26000000.0,636796.0,107.0,Released,5.6,121.0,Teri Garr
Dev.D,Comedy,hi,7.182,UTV Motion Pictures-UTV Spotboy Motion Pictures-Anurag Kashyap Films,2009-02-06,1700000.0,7600000.0,144.0,Released,6.9,99.0,Abhay Deol
Life During Wartime,Comedy,en,7.172,Werc Werk Works,2009-10-10,4500000.0,744816.0,97.0,Released,6.2,102.0,Shirley Henderson
Algiers,Drama,en,7.171,United Artists-Walter Wanger Productions,1938-01-16,691833.0,951801.0,96.0,Released,6.552,29.0,Charles Boyer
Ben Is Back,Drama,en,7.161,Black Bear Pictures-Color Force-30WEST-Sierra/Affinity,2018-12-05,13000000.0,12616995.0,103.0,Released,6.7,830.0,Julia Roberts
The Meddler,Comedy,en,7.161,Anonymous Content,2016-04-05,3200000.0,4267218.0,100.0,Released,5.9,298.0,Susan Sarandon
White God,Drama,hu,7.156,Proton Cinema-Filmpartners-Pola Pandora Filmproduktions,2014-06-12,2200000.0,282358.0,121.0,Released,6.6,279.0,Zsófia Psotta
Fathers' Day,Comedy,en,7.148,Silver Pictures-Northern Lights Entertainment-Warner Bros. Pictures,1997-05-09,85000000.0,35598376.0,99.0,Released,5.5,241.0,Robin Williams
The Brice Man,Comedy,fr,7.148,M6 Films,2005-01-01,4289601.0,33026616.0,98.0,Released,5.5,1079.0,Jean Dujardin
Carolina,Comedy,en,7.145,Carolina Torn Asunder Inc.-Hollywood Partners-Carol Baum Productions-Bregman-IAC Productions-Living Pictures-The Pitt Group,2003-07-04,15000000.0,308641.0,97.0,Released,5.7,62.0,Julia Stiles
Mr. Nanny,Family,en,7.145,New Line Cinema,1993-04-02,10000000.0,4300000.0,84.0,Released,5.119,155.0,Hulk Hogan
Sivaji: The Boss,Action,ta,7.143,AVM Productions,2007-06-14,12000000.0,19000000.0,189.0,Released,7.1,95.0,Rajinikanth
The Heiress,Drama,en,7.14,Paramount,1949-10-06,2600000.0,2300000.0,115.0,Released,7.7,201.0,Olivia de Havilland
Ittefaq,Crime,hi,7.14,Red Chillies Entertainment-Dharma Productions-B.R. Studios,2017-11-03,4400000.0,7900000.0,107.0,Released,7.0,71.0,Akshaye Khanna
Saathiya,Romance,hi,7.129,Yash Raj Films-Madras Talkies,2002-12-20,3000000.0,12000000.0,143.0,Released,6.0,42.0,Rani Mukerji
Loose Cannons,Comedy,it,7.129,Fandango-RAI Cinema-Faros Film,2010-02-12,7000000.0,8220215.0,108.0,Released,7.326,712.0,Riccardo Scamarcio
What Men Talk About,Comedy,ru,7.124,Central Partnership-Strela-Square Film Company,2010-03-04,1950000.0,12005838.0,93.0,Released,7.4,136.0,Leonid Barats
Flesh and the Devil,Drama,en,7.124,Metro-Goldwyn-Mayer,1926-12-25,373000.0,658000.0,112.0,Released,7.4,47.0,John Gilbert
Queen,Comedy,hi,7.117,Viacom18 Studios-Phantom Films,2014-03-07,1900000.0,17000000.0,146.0,Released,7.4,224.0,Kangana Ranaut
Stung,Horror,en,7.11,Rat Pack Filmproduktion-XYZ Films-IFC Midnight,2015-07-03,2500000.0,71085.0,87.0,Released,5.3,166.0,Matt O'Leary
The Conspirator,Crime,en,7.09,Wildwood Enterprises-American Film Company,2010-09-10,25000000.0,15478800.0,122.0,Released,6.6,386.0,James McAvoy
The Bolshoi,Drama,ru,7.09,Marmot Film-Valery Todorovsky Production Company-Telekanal Rossiya,2016-12-21,6411831.0,4029886.0,132.0,Released,6.7,43.0,Alisa Freyndlikh
Lowriders,Drama,en,7.088,Imagine Entertainment-Universal Pictures-Blumhouse Productions,2017-04-28,916000.0,6179955.0,99.0,Released,6.7,87.0,Demián Bichir
Blaze,Drama,en,7.078,Black Hangar Studios-Cinetic Media-Ansgar Media-Village Studios,2018-08-17,1200000.0,467306.0,129.0,Released,6.2,42.0,Ben Dickey
L.I.E.,Drama,en,7.077,Belladonna Productions-Alter Ego Entertainment,2001-01-20,700000.0,1667192.0,97.0,Released,6.799,87.0,Paul Dano
Black and White,Drama,en,7.073,Bigel / Mailer Films-Palm Pictures,1999-09-04,10000000.0,5241315.0,98.0,Released,4.7,53.0,Robert Downey Jr.
One Second,Drama,zh,7.073,Edko Films-Huanxi Media Group,2020-11-27,1250000.0,10791301.0,104.0,Released,7.6,61.0,Liu Haocun
Winter in Wartime,Drama,nl,7.069,Fu Works-Isabella Films B.V.-Max TV-Prime Time-Isabella Films,2008-11-17,4000000.0,530048.0,103.0,Released,6.8,143.0,Martijn Lakemeier
Inhale,Drama,en,7.066,26 Films,2010-08-27,10000000.0,55089.0,100.0,Released,5.946,102.0,Dermot Mulroney
Maniac Cop,Action,en,7.065,Shapiro-Glickenhaus Entertainment,1988-05-13,1100000.0,671382.0,85.0,Released,6.2,363.0,Tom Atkins
The Apparition,Drama,fr,7.064,France 3 Cinéma-Memento Films Production-La Cinéfacture-Curiosa Films-Proximus-Gabriel Inc.,2018-02-14,9661157.0,3562793.0,139.0,Released,6.2,112.0,Vincent Lindon
When Time Ran Out...,Action,en,7.059,Warner Bros. Pictures-International Cinema,1980-03-28,20000000.0,3763988.0,121.0,Released,5.7,50.0,Paul Newman
Rosewood,Drama,en,7.058,Warner Bros. Pictures-New Deal Productions-Peters Entertainment,1997-02-21,30000000.0,13130349.0,140.0,Released,6.6,85.0,Ving Rhames
My Way,Drama,fr,7.058,StudioCanal-LGM Productions,2012-03-14,27563396.0,29193330.0,148.0,Released,6.4,253.0,Jérémie Renier
Delgo,Adventure,en,7.054,Fathom Studios-Electric Eye Entertainment Corporation,2008-12-12,40000000.0,694782.0,94.0,Released,5.0,49.0,Freddie Prinze Jr.
"Hetalia: Axis Powers: Paint It, White!",Animation,ja,7.053,Movic-Frontier Works-Studio Deen-Media Factory,2010-06-05,250000.0,1950000.0,80.0,Released,7.2,23.0,Daisuke Namikawa
Extreme Ops,Action,en,7.053,Paramount-Diamant Cohen Productions-The Carousel Picture Company-MDP Worldwide-Extreme Productions-ApolloMedia,2002-11-27,40000000.0,10959475.0,93.0,Released,4.8,83.0,Devon Sawa
Home Fries,Comedy,en,7.052,Warner Bros. Pictures-Baltimore Pictures-Kasdan Pictures,1998-11-25,15000000.0,10443316.0,93.0,Released,5.0,79.0,Drew Barrymore
The Wash,Action,en,7.051,Lionsgate-Lithium Entertainment Group,2001-11-14,7000000.0,10229331.0,93.0,Released,4.9,82.0,Dr. Dre
Ida,Drama,pl,7.051,Det Danske Filminstitut-Canal+ Polska-Portobello Pictures-Eurimages-Phoenix Film Investments-Opus Film-PISF-City of Lodz-Phoenix Film Poland,2013-10-25,2159280.0,15298355.0,82.0,Released,7.3,852.0,Agata Kulesza
Witchboard,Horror,en,7.049,Blue Rider Pictures-Paragon Arts International,1986-12-31,2000000.0,7369373.0,98.0,Released,5.9,148.0,Stephen Nichols
Loft,Drama,nl,7.045,Woestijnvis,2008-10-21,4185000.0,9168516.0,118.0,Released,6.9,323.0,Koen De Bouw
Sleep Dealer,Drama,en,7.043,Likely Story,2008-12-10,2500000.0,107559.0,90.0,Released,5.9,99.0,Leonor Varela
Mao's Last Dancer,Drama,en,7.041,Great Scott Productions Pty. Ltd.,2009-10-01,25000000.0,23914731.0,117.0,Released,6.7,97.0,Chi Cao
Kabir Singh,Drama,hi,7.039,T-Series-Cine1 Studios,2019-06-20,8751000.0,55478164.0,172.0,Released,6.7,102.0,Shahid Kapoor
Tales from the Hood,Horror,en,7.031,40 Acres and a Mule Filmworks-Savoy Pictures,1995-05-24,6000000.0,12000000.0,97.0,Released,6.2,119.0,Clarence Williams III
5 Flights Up,Drama,en,7.03,Revelations Entertainment-Lascaux Films-Latitude Productions,2014-09-05,6000000.0,1020921.0,92.0,Released,6.006,270.0,Morgan Freeman
The Big Kahuna,Comedy,en,7.027,Franchise Pictures-Trigger Street Productions,1999-11-17,7000000.0,3728888.0,90.0,Released,6.8,302.0,Kevin Spacey
Lovely & Amazing,Comedy,en,7.02,Lionsgate Home Entertainment,2001-08-31,250000.0,4186931.0,91.0,Released,6.2,65.0,Catherine Keener
Woodstock,Documentary,en,7.017,Warner Bros. Pictures-Wadleigh-Maurice,1970-03-26,600000.0,34505110.0,225.0,Released,7.5,223.0,Richie Havens
The Class,Drama,et,7.015,Amrion-Eesti Televisioon,2007-03-16,145625.0,4117.0,97.0,Released,7.449,196.0,Vallo Kirs
If Lucy Fell,Comedy,en,7.008,TriStar Pictures-Motion Picture Corporation of America,1996-03-08,5000000.0,2420162.0,92.0,Released,5.0,42.0,Sarah Jessica Parker
Dany,Comedy,fr,7.007,Artémis Productions-Chi-Fou-Mi Productions,2018-05-30,6861490.0,2080679.0,89.0,Released,5.3,138.0,François Damiens
Star!,Drama,en,7.007,Robert Wise Productions-20th Century Fox,1968-07-18,14320000.0,14000000.0,176.0,Released,7.0,205.0,Julie Andrews
Fortress of War,War,ru,7.005,Central Partnership-TRO-Belarusfilm,2010-11-04,8500000.0,4404729.0,138.0,Released,7.292,130.0,Andrey Merzlikin
Ghosts of Mississippi,Drama,en,7.004,Castle Rock Entertainment,1996-12-20,36000000.0,13323144.0,130.0,Released,6.5,115.0,Alec Baldwin
50 to 1,Comedy,en,7.004,Ten Furlongs,2014-03-21,10000000.0,1064454.0,110.0,Released,6.7,57.0,Skeet Ulrich
One Night with the King,Drama,en,7.002,Gener8Xion Entertainment,2006-10-10,20000000.0,13391174.0,123.0,Released,6.8,54.0,Tiffany Dupont
Once Upon a Crime,Crime,en,7.0,Metro-Goldwyn-Mayer-Ascot Film-Dino de Laurentiis Communications,1992-03-06,18000000.0,3520427.0,94.0,Released,5.8,74.0,John Candy
Tiny Furniture,Romance,en,6.999,Tiny Ponies,2010-11-12,65000.0,416498.0,99.0,Released,5.9,129.0,Lena Dunham
Kokowääh,Comedy,de,6.996,Sat.1-Barefoot Films-Béla Jarzyk Production,2011-02-03,5650000.0,43000000.0,115.0,Released,6.272,240.0,Til Schweiger
Hansel & Gretel,Fantasy,ko,6.991,Cineclick Asia-Barunson E&A-CJ Entertainment,2007-12-27,4000000.0,2206625.0,117.0,Released,6.7,147.0,Chun Jung
King of the Hill,Drama,en,6.988,Gramercy Pictures-Wildwood Enterprises-Bona Fide Productions,1993-08-20,8000000.0,1214231.0,103.0,Released,6.9,128.0,Jesse Bradford
Stage Fright,Thriller,en,6.983,Warner Bros. Pictures,1950-02-23,1450000.0,1900000.0,110.0,Released,6.8,241.0,Jane Wyman
Broadway Danny Rose,Comedy,en,6.982,Orion Pictures,1984-01-27,8000000.0,10600497.0,84.0,Released,7.2,379.0,Woody Allen
The Quiet Ones,Horror,en,6.972,Hammer Film Productions-Exclusive Media-Travelling Picture Show Company,2014-04-01,200000.0,17834867.0,98.0,Released,5.1,592.0,Jared Harris
When Worlds Collide,Science Fiction,en,6.968,Paramount,1951-09-14,936000.0,1600000.0,83.0,Released,6.3,143.0,Richard Derr
Kinjite: Forbidden Subjects,Action,en,6.963,Cannon Group-Golan-Globus Productions,1989-02-03,5000000.0,3416846.0,97.0,Released,5.5,63.0,Charles Bronson
Badlapur,Crime,hi,6.956,Maddock Films,2015-02-20,3700000.0,11480000.0,128.0,Released,7.1,99.0,Varun Dhawan
Romanzo Criminale,Crime,it,6.956,Babe Films-Cattleya-Warner Bros Pictures Italia-Crime Novel Films Limited,2005-09-30,818418.0,4851244.0,152.0,Released,7.2,587.0,Kim Rossi Stuart
A Tale of Love and Darkness,Drama,he,6.952,Handsomecharlie Films-Focus Features-Ram Bergman Productions-Black Bicycle Entertainment,2015-09-03,4000000.0,572212.0,95.0,Released,5.6,118.0,Natalie Portman
Decibel,Action,ko,6.948,East Dream Synopex-Mindmark,2022-11-16,8500000.0,6843970.0,110.0,Released,6.8,18.0,Kim Rae
Italian for Beginners,Comedy,da,6.941,Zentropa Entertainments,2000-12-07,1000000.0,16350876.0,95.0,Released,6.5,103.0,Peter Gantzler
Metropolitan,Comedy,en,6.941,Waverly Films-Allagash Films-Westerly Films-Producciones Kaplan S.L.,1990-08-03,225000.0,2900000.0,99.0,Released,6.9,116.0,Edward Clements
